"Reggane 003","22537","Valid","L5","Quantity[3.4, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.23302, 158.27002}]"
"Roach Dry Lake 113","56577","Valid","Iron, IAB-MG","Quantity[100000, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{39.45889, -4.3775}]"
"Rock Creek","22638","Valid","L5","Quantity[1641, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{34.42222, -101.4975}]"
"Roosevelt County 011","22666","Valid","H5","Quantity[2.9, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{33.75, -103.13333}]"
"Roosevelt County 090","22744","Valid","H5","Quantity[1615, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{34.13333, -103.53333}]"
"Springwater","23691","Valid","L6","Quantity[17300, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{34.34444, -102.22361}]"
"Wah Wah Valley","24186","Valid","L6","Quantity[191.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-32.06667, 125.15}]"
"Yamato 8014","29048","Valid","L6","Quantity[22.68, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.83333, 35.5}]"
"Yamato 81001","29049","Valid","Lodranite","Quantity[2.27, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81002","29050","Valid","L6","Quantity[20.43, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81003","29051","Valid","L6","Quantity[77.59, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81004","29052","Valid","Winonaite","Quantity[29.02, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81005","29053","Valid","H4","Quantity[21.58, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81006","29054","Valid","L6","Quantity[6.95, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81007","29055","Valid","H5","Quantity[3.42, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81008","29056","Valid","Diogenite","Quantity[53.77, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81009","29057","Valid","L6","Quantity[109.32, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81010","29058","Valid","L6","Quantity[571.16, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81011","29059","Valid","H4","Quantity[12.15, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81012","29060","Valid","H4","Quantity[12.46, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
"Yamato 81013","29061","Valid","L3.9","Quantity[13.89, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-71.5, 35.66667}]"
